id;kode_provinsi;nama_provinsi;kode_kabupaten_kota;kota_kabupaten;jumlah_penduduk;satuan;tahun
261;32;JAWA BARAT;3218;KABUPATEN PANGANDARAN;399.03.00;RIBU ORANG;2019
262;32;JAWA BARAT;3271;KOTA BOGOR;1112.01.00;RIBU ORANG;2019
263;32;JAWA BARAT;3272;KOTA SUKABUMI;328.07.00;RIBU ORANG;2019
264;32;JAWA BARAT;3273;KOTA BANDUNG;2507.09.00;RIBU ORANG;2019
265;32;JAWA BARAT;3274;KOTA CIREBON;319.03.00;RIBU ORANG;2019
266;32;JAWA BARAT;3275;KOTA BEKASI;3003.09.00;RIBU ORANG;2019
267;32;JAWA BARAT;3276;KOTA DEPOK;2406.08.00;RIBU ORANG;2019
268;32;JAWA BARAT;3277;KOTA CIMAHI;614.03.00;RIBU ORANG;2019
269;32;JAWA BARAT;3278;KOTA TASIKMALAYA;663.05.00;RIBU ORANG;2019
270;32;JAWA BARAT;3279;KOTA BANJAR;183.01.00;RIBU ORANG;2019
271;32;JAWA BARAT;3201;KABUPATEN BOGOR;5409.37.00;RIBU ORANG;2020
272;32;JAWA BARAT;3202;KABUPATEN SUKABUMI;2718.74;RIBU ORANG;2020
273;32;JAWA BARAT;3203;KABUPATEN CIANJUR;2470.56.00;RIBU ORANG;2020
274;32;JAWA BARAT;3204;KABUPATEN BANDUNG;3616.54.00;RIBU ORANG;2020
275;32;JAWA BARAT;3205;KABUPATEN GARUT;2577.35.00;RIBU ORANG;2020
276;32;JAWA BARAT;3206;KABUPATEN TASIKMALAYA;1861.06.00;RIBU ORANG;2020
277;32;JAWA BARAT;3207;KABUPATEN CIAMIS;1226.05.00;RIBU ORANG;2020
278;32;JAWA BARAT;3208;KABUPATEN KUNINGAN;1162.59.00;RIBU ORANG;2020
279;32;JAWA BARAT;3209;KABUPATEN CIREBON;2270.35.00;RIBU ORANG;2020
280;32;JAWA BARAT;3210;KABUPATEN MAJALENGKA;1301.57.00;RIBU ORANG;2020
281;32;JAWA BARAT;3211;KABUPATEN SUMEDANG;1149.47.00;RIBU ORANG;2020
282;32;JAWA BARAT;3212;KABUPATEN INDRAMAYU;1829.23.00;RIBU ORANG;2020
